AUC1,EER1,AUC2,EER2,AUC_cross,EER_cross
0.8546384086261388,0.18951477969882874,0.9982637287055133,0.00663054327677171,0.29379366890061315,0.688181769570797
0.8714560456604008,0.2359715242881072,0.7293786653986368,0.37547154858139165,0.6236888478643954,0.41208777376856587
0.9997648407530975,0.0020245741413013126,0.9925048065368901,0.010844748858447488,0.5259514732489015,0.4702240566037736
0.9784163976923272,0.07970112079701122,0.985530612244898,0.04452380952380955,0.38897658079625297,0.5919391100702576
0.9739278242677825,0.13662831241283124,0.9987744050163888,0.003847798204360838,0.9873586225659761,0.06423199502506902
0.8858726835698225,0.21878731487942932,0.9981127485929492,0.012191644089547982,0.29078140596035934,0.6888234350491944
0.982035569572247,0.04616525945294985,0.9996001713551335,0.0009281736398686277,0.9993057162693821,0.0029273168642010568
0.9989451342729687,0.003145533342653432,0.9984893884198879,0.006648555905061481,0.9853925966393369,0.07312984690502307
0.9993974044298123,0.0024434515498464116,0.9999077212174088,0.000356531660011409,0.9985826047475466,0.004991443240159726
0.854652451185581,0.2223631185416821,0.9194137562366358,0.17571721311475408,0.7433945892342496,0.3064861012116893
0.7413668592436975,0.303239069065126,0.988480287279653,0.048738536920972936,0.4755013550135502,0.5559948652118101
0.5013103822594402,0.5068736915561758,0.9931605642732604,0.05588048819147251,0.18728147464406592,0.7855948085368241
0.9702689648159446,0.09355297945901975,0.9997768240343348,0.0019313304721030042,0.9762195490539806,0.08388442241431421
0.9879854708018999,0.04784157585917856,0.9755784061696657,0.08803607132655976,0.652552055344962,0.378243020154048
0.9975685698292751,0.00797649034424853,0.9925044091710759,0.04071035321035319,0.9075356869474517,0.17546538134773432
0.7934346477755405,0.2930525139993239,0.9951156462585034,0.05088095238095241,0.46840281030444963,0.5119555035128805
0.9479608938547486,0.06096368715083801,0.4824336097092045,0.5137286709925499,0.5659785043508228,0.4536553911432756
0.9934995375822538,0.03156416961083724,0.9965384665341802,0.006286612373196171,0.9695532541515147,0.1123881752692781
0.9247718618697479,0.12669462316176472,0.9062608971310825,0.1589396100808369,0.8233615842913485,0.21882744538614304
0.8512704047508801,0.2916822848911135,0.9771082834331337,0.12622968349016253,0.9492049335978499,0.10109568097846862
0.997104197443756,0.05375609110753426,1.0,0.0,0.3165293691866048,0.670206610959835
0.9298295851375891,0.19037575080318478,0.5910624175405667,0.39156159464642754,0.4960689197759478,0.49326342594609773
0.8871052544008519,0.2528701207946491,0.9902925170068028,0.05195238095238098,0.9893255269320843,0.0457330210772834
0.9950320736298982,0.012201924417793893,0.9806268617487296,0.049851060101629555,0.9512366865726775,0.08716639475466352
0.9630936940782453,0.11108420482343093,0.8667378917378918,0.28594831094831097,0.9618025154610521,0.12400979779028559
0.998566850454826,0.0034136825971854533,0.9254673118891736,0.1398377455166524,0.9242771745760643,0.13882111341547723
0.8913522669265396,0.09996983618729405,0.9999573439499503,0.00021328025024882697,0.9444252605065915,0.10433212813064936
0.9988854834215659,0.0029256060183895237,1.0,0.0,0.26735649061625294,0.7103863625934934
0.9974280386651522,0.005711897464474784,0.826459214423363,0.279271589130744,0.5613262910798122,0.438198001138142
